,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Aktywa razem,472940.0,456081.0,483994.0,634645.0,404125.0,380885.0,555535.0,979571.0,875678.0,999014.0,802986.0,862437.0,698625.0,789147.0,756296.0,757569.0,589816.0,580468.0,518234.0,522011.0,475366.0,465328.0,428205.0,479867.0,403766.0,403253.0,428788.0,398401.0,452164.0,380947.0,380849.0,409910.0,434512.0,398846.0,433384.0,443676.0,513141.0,411937.0,412253.0,420974.0,454410.0,446614.0,439040.0,493719.0,480408.0,411956.0,489148.0,388079.0,390504.0,404683.0,415419.0,341006.0,336751.0,315991.0,304704.0,272943.0,307890.0,300249.0,299592.0,296378.0,296393.0,277249.0,273736.0,279087.0,289886.0,287931.0,292571.0,282526.0,300770.0,288222.0,294982.0,297379.0,326198.0
Kapitał własny akcjonariuszy jednostki dominującej,202716.0,208773.0,213323.0,215983.0,215711.0,199300.0,319595.0,304717.0,289749.0,349743.0,300236.0,343505.0,347407.0,348931.0,355013.0,372988.0,354935.0,281321.0,275617.0,268131.0,250802.0,237422.0,224920.0,217569.0,224112.0,225941.0,222739.0,203210.0,210513.0,211780.0,213068.0,213552.0,219854.0,223451.0,226919.0,227552.0,231758.0,232022.0,232840.0,222368.0,225783.0,224003.0,222292.0,213300.0,214113.0,125803.0,122505.0,34751.0,40263.0,38280.0,32968.0,33094.0,60745.0,65073.0,69646.0,65757.0,74439.0,78598.0,86948.0,94273.0,120551.0,126604.0,132831.0,141642.0,147724.0,158915.0,164900.0,169211.0,179874.0,184815.0,191197.0,200223.0,220577.0
Kapitał (fundusz) podstawowy,10061.0,10090.0,10090.0,10090.0,10092.0,10139.0,11167.0,11171.0,11176.0,14009.0,14009.0,14009.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,15082.0,18786.0,18786.0,26286.0,26286.0,26286.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0,25956.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5027.0,-5027.0,-5027.0,-5027.0,-5027.0,-5027.0,-5027.0,-5560.0,-5560.0,-5560.0,-5560.0,-5702.0,-5929.0,-5929.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-7234.0,-1674.0,-1674.0,-1674.0,-1674.0,-1674.0,-1674.0,-885.0,-907.0,-907.0,-907.0,-395.0,-395.0,-395.0,-395.0,-129.0,-129.0,-438.0
Kapitał (fundusz) zapasowy,51012.0,53345.0,53401.0,53467.0,53631.0,57014.0,173448.0,173837.0,174617.0,282633.0,282633.0,282635.0,311817.0,311738.0,311738.0,317633.0,317633.0,317633.0,317633.0,317633.0,312606.0,317633.0,317633.0,312606.0,317633.0,318126.0,313099.0,313099.0,313099.0,313099.0,313099.0,313099.0,313099.0,209548.0,209548.0,209548.0,209548.0,215786.0,215786.0,215785.0,215785.0,215785.0,215785.0,215785.0,215785.0,215785.0,215785.0,215785.0,215785.0,215785.0,215785.0,221681.0,208767.0,231094.0,231094.0,231094.0,208765.0,208765.0,20940.0,20664.0,20664.0,20664.0,20705.0,20701.0,20763.0,20764.0,20763.0,20763.0,20763.0,20763.0,20763.0,20763.0,141777.0
Udziały niekontrolujące,5582.0,6518.0,6413.0,4534.0,4556.0,4539.0,4022.0,128956.0,126559.0,2824.0,2872.0,3095.0,3115.0,3249.0,3288.0,3250.0,3304.0,3044.0,2153.0,2147.0,2091.0,2141.0,2121.0,2273.0,2297.0,2299.0,2297.0,2444.0,2481.0,2423.0,2410.0,2476.0,1778.0,1731.0,1692.0,1742.0,1736.0,1713.0,1290.0,1321.0,1363.0,1360.0,1350.0,1388.0,233.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,93992.0,11912.0,13067.0,12621.0,11550.0,12877.0,9498.0,44069.0,47555.0,44328.0,38295.0,31959.0,28690.0,28194.0,28343.0,14301.0,28015.0,25267.0,24854.0,6760.0,6029.0,4113.0,14328.0,23693.0,39971.0,36571.0,11921.0,13438.0,24580.0,63606.0,58515.0,61592.0,64034.0,18122.0,12771.0,14703.0,53699.0,47659.0,45190.0,48300.0,45562.0,46200.0,47746.0,60558.0,20778.0,69247.0,68087.0,63594.0,49569.0,47429.0,170167.0,123849.0,101903.0,16502.0,16982.0,77634.0,86116.0,107384.0,101206.0,93204.0,63262.0,16500.0,60313.0,48788.0,46800.0,37387.0,35998.0,27956.0,27264.0,8353.0,24114.0,20590.0,16674.0
Z tytułu dostaw i usług,96624.0,82893.0,99842.0,244537.0,114334.0,71725.0,161957.0,275040.0,208739.0,306155.0,117119.0,245113.0,104578.0,222355.0,193439.0,227859.0,77770.0,80856.0,59080.0,120696.0,78411.0,97985.0,69956.0,137275.0,89670.0,75948.0,119639.0,95379.0,131770.0,81709.0,88493.0,116055.0,125570.0,102117.0,136554.0,144244.0,168151.0,108491.0,116005.0,111856.0,146188.0,117293.0,108928.0,141914.0,137946.0,101894.0,128771.0,135994.0,144598.0,173882.0,136676.0,113093.0,92953.0,132050.0,124956.0,81233.0,81058.0,66707.0,67801.0,66749.0,60617.0,35897.0,37052.0,35332.0,34463.0,34495.0,34337.0,35700.0,36554.0,31081.0,28534.0,29238.0,38302.0
Kredyty i pożyczki,2239.0,2250.0,1469.0,1720.0,2390.0,38707.0,10404.0,87471.0,71530.0,124202.0,192507.0,108311.0,84167.0,67729.0,55856.0,33123.0,24583.0,24757.0,40418.0,16952.0,15077.0,10764.0,10761.0,14234.0,0.0,10427.0,10054.0,1.0,708.0,4608.0,2331.0,2795.0,2090.0,2298.0,2258.0,3064.0,2357.0,3599.0,2089.0,23193.0,2694.0,32287.0,36261.0,13685.0,5795.0,17961.0,35470.0,29754.0,34900.0,34900.0,908.0,5768.0,7711.0,33441.0,32978.0,18200.0,18125.0,9943.0,9730.0,9466.0,9435.0,18990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12136.0,12143.0,12013.0
Z tytułu emisji dłużnych papierów wartościowych,3188.0,85904.0,90073.0,92575.0,8506.0,9146.0,1000.0,77326.0,76537.0,104221.0,86220.0,61635.0,56672.0,57833.0,63300.0,62730.0,64286.0,70298.0,39971.0,49881.0,69966.0,69765.0,56756.0,43782.0,13708.0,15715.0,30488.0,63139.0,64732.0,316.0,1087.0,296.0,968.0,39777.0,40596.0,40073.0,40963.0,446.0,53.0,499.0,62.0,498.0,48.0,486.0,39966.0,40424.0,40007.0,39677.0,39700.0,39700.0,681.0,7711.0,5858.0,15669.0,15537.0,13100.0,13102.0,6885.0,6733.0,6580.0,6902.0,5242.0,9086.0,18057.0,18178.0,18467.0,18699.0,18795.0,18704.0,27663.0,100.0,100.0,100.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4421.0,3544.0,3280.0,2276.0,2201.0,1732.0,2183.0,3327.0,2294.0,1639.0,2296.0,2267.0,1732.0,938.0,1020.0,972.0,1004.0,981.0,968.0,1269.0,2323.0,2217.0,2173.0,2103.0,2206.0,10227.0,2450.0,2620.0,3617.0,3498.0,3152.0,3549.0,1271.0,1080.0,399.0,288.0,95.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8338.0,7503.0,6891.0,7026.0,47256.0,7673.0,7612.0,6706.0,5587.0,4501.0,4429.0,4734.0,5184.0,4647.0,4314.0,3850.0
Inne zobowiązania długoterminowe,9699.0,9113.0,10214.0,11241.0,9993.0,10622.0,7959.0,39376.0,42068.0,39691.0,33010.0,28827.0,25538.0,26056.0,24946.0,9325.0,24722.0,22611.0,22621.0,4623.0,4010.0,2525.0,2587.0,6104.0,5832.0,6495.0,4877.0,5344.0,16960.0,15777.0,11340.0,14704.0,17718.0,11384.0,6848.0,11166.0,11875.0,6340.0,5159.0,8299.0,5537.0,6361.0,7876.0,20673.0,10995.0,59424.0,58203.0,53690.0,49214.0,47116.0,83889.0,11294.0,12615.0,9791.0,10942.0,29264.0,27496.0,26401.0,29673.0,28989.0,6083.0,6173.0,8029.0,7129.0,6071.0,5751.0,5039.0,4827.0,4518.0,4663.0,4119.0,3721.0,3668.0
Zobowiązania krótkoterminowe,170650.0,228878.0,251191.0,401507.0,172308.0,164169.0,222420.0,501829.0,411815.0,602119.0,461583.0,483878.0,319413.0,408773.0,369652.0,367030.0,203562.0,270836.0,215610.0,244973.0,216444.0,221652.0,186836.0,236332.0,137386.0,138442.0,191831.0,179309.0,214590.0,103138.0,106856.0,132290.0,148846.0,155542.0,192002.0,199679.0,225948.0,130543.0,132933.0,148985.0,181702.0,175051.0,167652.0,218473.0,245284.0,216660.0,298556.0,289734.0,300672.0,318974.0,212284.0,184063.0,174103.0,234416.0,218076.0,129552.0,147335.0,114267.0,111438.0,108901.0,112580.0,134145.0,80592.0,88657.0,95362.0,91629.0,91673.0,85359.0,93632.0,95054.0,79671.0,76566.0,88947.0
Inne zobowiązania krótkoterminowe,68599.0,57831.0,59807.0,62675.0,47078.0,44591.0,49059.0,57571.0,51465.0,64261.0,63461.0,66618.0,72264.0,58673.0,53730.0,41024.0,35284.0,92629.0,73874.0,55712.0,52052.0,42118.0,48391.0,40037.0,33027.0,35384.0,30381.0,18467.0,15163.0,14332.0,12842.0,10938.0,9991.0,8900.0,9974.0,8681.0,10979.0,14855.0,11237.0,12166.0,31678.0,24574.0,22127.0,62293.0,61551.0,56381.0,94308.0,84309.0,81474.0,70492.0,74019.0,57491.0,67581.0,53256.0,44605.0,17019.0,35050.0,22394.0,19671.0,19215.0,28600.0,26760.0,26781.0,27656.0,36015.0,33080.0,34136.0,26435.0,33640.0,31126.0,34254.0,30771.0,34682.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,472940.0,456081.0,483994.0,634645.0,404125.0,380885.0,555535.0,979571.0,875678.0,999014.0,802986.0,862437.0,698625.0,789147.0,756296.0,757569.0,589816.0,580468.0,518234.0,522011.0,475366.0,465328.0,428205.0,479867.0,403766.0,403253.0,428788.0,398401.0,452164.0,380947.0,380849.0,409910.0,434512.0,398846.0,433384.0,443676.0,513141.0,411937.0,412253.0,420974.0,454410.0,446614.0,439040.0,493719.0,480408.0,411956.0,489148.0,388079.0,390504.0,404683.0,415419.0,341006.0,336751.0,315991.0,304704.0,272943.0,307890.0,300249.0,299592.0,296378.0,296393.0,277249.0,273736.0,279087.0,289886.0,287931.0,292571.0,282526.0,300770.0,288222.0,294982.0,297379.0,326198.0
Przepływy pieniężne z działalności operacyjnej,18159.0,2303.0,10766.0,91594.0,-77025.0,-33047.0,88247.0,-63019.0,-25974.0,-38014.0,-68841.0,125934.0,-14322.0,11292.0,-34382.0,95812.0,-42169.0,-10284.0,-9804.0,67126.0,-10859.0,-9555.0,-3733.0,29042.0,-3439.0,4218.0,10789.0,27225.0,55668.0,-47348.0,6175.0,7464.0,53302.0,-43770.0,-6159.0,3884.0,43687.0,-32646.0,-4219.0,-21143.0,64995.0,-62135.0,-1476.0,84303.0,-30312.0,-24953.0,39338.0,-5555.0,-14894.0,-8152.0,2366.0,9059.0,9176.0,-11600.0,-4222.0,25588.0,23882.0,2943.0,10326.0,14808.0,14725.0,-7364.0,1311.0,11532.0,30966.0,-862.0,13740.0,878.0,41323.0,1094.0,4830.0,10944.0,37953.0
Amortyzacja,4974.0,5443.0,6200.0,5143.0,6163.0,5894.0,6483.0,49945.0,12934.0,15992.0,8197.0,18567.0,12087.0,11136.0,11645.0,10186.0,9827.0,7289.0,9080.0,8420.0,7473.0,7035.0,6276.0,6024.0,4500.0,4048.0,3079.0,14820.0,4488.0,4370.0,4238.0,4628.0,4245.0,4556.0,4286.0,3975.0,3936.0,3722.0,3538.0,3948.0,3837.0,4513.0,4256.0,4374.0,4079.0,3547.0,2946.0,2962.0,2036.0,1949.0,1825.0,2254.0,2051.0,2067.0,2132.0,1776.0,4038.0,4105.0,4108.0,3903.0,3478.0,2740.0,2796.0,2808.0,2656.0,2639.0,2705.0,2756.0,2362.0,2650.0,2635.0,2353.0,2222.0
Przepływy pieniężne z działalności inwestycyjnej,-48212.0,-2861.0,-6881.0,-1132.0,66491.0,857.0,-57609.0,26110.0,-5819.0,-10372.0,-5901.0,15729.0,20811.0,-2351.0,20428.0,-9327.0,-2466.0,12417.0,5876.0,4841.0,-1133.0,-25.0,-1339.0,-4299.0,-1116.0,-1527.0,-7421.0,-15000.0,-1842.0,-11936.0,-3076.0,4001.0,658.0,-3778.0,-2974.0,-923.0,-3190.0,-5685.0,-3069.0,-608.0,-1950.0,-6975.0,-1545.0,-2843.0,-3554.0,-3667.0,-2277.0,-2931.0,-535.0,-664.0,-626.0,78.0,-337.0,-734.0,-327.0,-373.0,-488.0,-572.0,-285.0,-522.0,-264.0,-834.0,-696.0,-170.0,-1099.0,-1866.0,-3789.0,-1298.0,-1292.0,-1263.0,-1518.0,-343.0,-648.0
CAPEX (niematerialne i rzeczowe),5035.0,8391.0,15427.0,5979.0,5109.0,5950.0,2602.0,78314.0,4402.0,9084.0,4464.0,13330.0,2914.0,2452.0,2229.0,12474.0,2249.0,2177.0,1065.0,1599.0,2222.0,1875.0,1377.0,4228.0,1331.0,1841.0,7701.0,17412.0,1989.0,596.0,3105.0,1895.0,1750.0,289.0,6537.0,4412.0,3133.0,4674.0,3072.0,1815.0,1962.0,6963.0,1545.0,2843.0,3554.0,3020.0,2924.0,2991.0,765.0,681.0,630.0,-78.0,338.0,736.0,327.0,371.0,488.0,572.0,285.0,722.0,254.0,834.0,696.0,170.0,1090.0,1865.0,3789.0,1298.0,1294.0,1263.0,1518.0,343.0,655.0
Przepływy pieniężne z działalności finansowej,481.0,-81.0,-1013.0,-3414.0,-87533.0,31603.0,-32098.0,90227.0,8112.0,60610.0,50953.0,-114870.0,3383.0,-15287.0,110.0,-33414.0,-6826.0,-207.0,-17572.0,-17245.0,14753.0,-7192.0,-4079.0,-6985.0,-29594.0,6832.0,-16324.0,4422.0,-272.0,-22342.0,-3566.0,-2035.0,-1849.0,-1507.0,-1014.0,-1973.0,38484.0,-41381.0,-3372.0,19330.0,-21858.0,27986.0,1846.0,-22099.0,-9044.0,11960.0,16289.0,-8311.0,4277.0,-633.0,-2503.0,7173.0,-2247.0,-1987.0,-1889.0,-26906.0,-1073.0,-10562.0,-9159.0,-9350.0,-10363.0,-8240.0,-11614.0,-1706.0,-2738.0,-11859.0,-483.0,-11870.0,-2184.0,-11668.0,614.0,-4992.0,-4419.0
Emisja akcji,0.0,2688.0,0.0,0.0,0.0,0.0,6497.0,0.0,0.0,10322.0,0.0,0.0,30201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,16913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,6946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0
Przepływy pieniężne razem,-29572.0,-639.0,2872.0,87048.0,-98067.0,-587.0,-1460.0,53318.0,-23681.0,12224.0,-23789.0,26793.0,9872.0,-6346.0,-13844.0,53071.0,-51461.0,1926.0,-21500.0,54722.0,2761.0,-16772.0,-9151.0,17758.0,-34149.0,9523.0,-12956.0,16647.0,53554.0,-81626.0,-467.0,9430.0,52111.0,-49055.0,-10147.0,988.0,78981.0,-79712.0,-10660.0,-2421.0,41187.0,-41124.0,-1175.0,59361.0,-42910.0,-16660.0,53350.0,-16797.0,-11152.0,-9449.0,-763.0,16310.0,6592.0,-14321.0,-6438.0,-1691.0,22321.0,-8191.0,882.0,4936.0,4098.0,-16438.0,-10999.0,9656.0,27129.0,-14587.0,9468.0,-12290.0,37847.0,-11837.0,3926.0,5609.0,32886.0
