,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,32450.0,33187.0,33165.0,23941.0,239410.0,239410.0,255580.0,255580.0,255580.0,255580.0,273109.0,273110.0,273109.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,25280.0,26921.0,29482.0,30001.0,34379.0,35681.0,43945.0,45554.0,51175.0,92878.0,41117.0,43935.0,45004.0
Z tytułu dostaw i usług,0.0,0.0,0.0,129205.0,139863.0,251799.0,149211.0,106539.0,161691.0,167581.0,106249.0,130207.0,105429.0,172766.0,181122.0,92001.0
Kredyty i pożyczki,0.0,0.0,0.0,4061.0,5366.0,66174.0,4915.0,11380.0,22482.0,99298.0,87971.0,64307.0,59928.0,32358.0,47697.0,17337.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,13270.0,15119.0,17662.0,18382.0,23407.0,24493.0,31003.0,35183.0,31272.0,31780.0,29869.0,33492.0,35691.0
Zobowiązania krótkoterminowe,0.0,0.0,0.0,260436.0,230501.0,401501.0,251659.0,203162.0,276895.0,359833.0,328280.0,255919.0,278991.0,287354.0,348266.0,272169.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,127170.0,85272.0,83528.0,97533.0,85243.0,92722.0,92954.0,134060.0,61405.0,113634.0,82230.0,119447.0,162831.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,73183.0,77989.0,67773.0,370558.0,326643.0,528439.0,597309.0,571292.0,646343.0,708417.0,679834.0,618019.0,677868.0,651859.0,726313.0,661491.0
Przepływy pieniężne z działalności operacyjnej,14351.0,-4968.0,14734.0,63223.0,-33890.0,-68674.0,-125971.0,92305.0,-61540.0,-78221.0,13958.0,47756.0,-12207.0,54376.0,12409.0,89168.0
Amortyzacja,1320.0,1509.0,1457.0,1377.0,1565.0,1673.0,1693.0,1670.0,1830.0,1907.0,2041.0,2312.0,2232.0,2319.0,2290.0,2229.0
Przepływy pieniężne z działalności inwestycyjnej,-15509.0,-821.0,-156.0,-320.0,10871.0,-42963.0,-9922.0,-11488.0,-10055.0,-1073.0,-873.0,-19079.0,-4232.0,3683.0,-23270.0,3418.0
CAPEX (niematerialne i rzeczowe),702.0,58.0,142.0,541.0,265.0,1435.0,866.0,3360.0,2120.0,734.0,1761.0,25971.0,2917.0,-1167.0,750.0,2122.0
Przepływy pieniężne z działalności finansowej,-955.0,-21948.0,-1155.0,-2119.0,-33240.0,59755.0,151261.0,4652.0,14254.0,44736.0,-16434.0,-27011.0,33046.0,-72960.0,11632.0,-40869.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,20097.0,0.0,32429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-2113.0,-27737.0,13423.0,60784.0,-56259.0,-51882.0,15368.0,85469.0,-57341.0,-34558.0,-3349.0,1666.0,16607.0,-14901.0,771.0,51717.0
